!,0.0012385818238117355
/n,0
#,0
"""",0.03132579862723848
%,0
$,0
&,0.0007741136398823347
),0.016204778861536873
(,0.016204778861536873
+,0.002528771223615627
*,0.0007741136398823347
-,0.12917376270836559
",",0.43861278835733086
/,0
.,0.20880425246426176
;,0.05372348660783403
:,0.0028900242555607164
=,5.1607575992155646e-05
<,0
?,0.0041802136553646075
>,0
@,0
[,0.0009805439438509574
],0.0009805439438509574
\,0
_,0.07426330185271197
^,0
`,0
{,0.0005160757599215565
},0.001032151519843113
|,0.015740310677607474
~,0
